#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Chlamydia_sp_10DC88	NZ_CP006571.1	132290	132721	+	-	-	RT28_RS00525	WP_020355992.1	143	MULTISPECIES: helix-turn-helix domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	132969	134408	-	-	-	RT28_RS00530	WP_038500106.1	479	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	139948	141018	+	-	-	RT28_RS00550	WP_038500109.1	356	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	141027	141866	+	-	-	RT28_RS00555	WP_038500111.1	279	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
Chlamydia_sp_10DC88	NZ_CP006571.1	142255	144186	-	-	-	RT28_RS00560	WP_038500113.1	643	1-deoxy-D-xylulose-5-phosphate synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	144183	144440	-	-	-	RT28_RS00565	WP_020356004.1	85	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	144458	144688	-	-	-	RT28_RS00570	WP_020356005.1	76	MULTISPECIES: exodeoxyribonuclease VII small subunit
Chlamydia_sp_10DC88	NZ_CP006571.1	144708	146363	-	-	-	RT28_RS00575	WP_020356006.1	551	MULTISPECIES: exodeoxyribonuclease VII large subunit
Chlamydia_sp_10DC88	NZ_CP006571.1	146484	147245	+	-	-	RT28_RS00580	WP_038500115.1	253	triose-phosphate isomerase
Chlamydia_sp_10DC88	NZ_CP006571.1	147508	147732	+	-	-	RT28_RS00585	WP_020356009.1	74	preprotein translocase subunit SecG
Chlamydia_sp_10DC88	NZ_CP006571.1	147911	149995	-	-	-	RT28_RS00590	WP_038500117.1	694	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	150004	151710	-	-	-	RT28_RS00595	WP_038500119.1	568	HEAT repeat domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	151692	152282	-	-	-	RT28_RS00600	WP_038500122.1	196	septum formation protein Maf
Chlamydia_sp_10DC88	NZ_CP006571.1	152318	153901	-	-	-	RT28_RS00605	WP_020356015.1	527	MULTISPECIES: ABC transporter ATP-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	153953	154891	-	-	-	RT28_RS00610	WP_020356016.1	312	MULTISPECIES: tyrosine recombinase XerC
Chlamydia_sp_10DC88	NZ_CP006571.1	154934	155854	-	-	-	RT28_RS00615	WP_020356017.1	306	MULTISPECIES: ribonuclease Z
Chlamydia_sp_10DC88	NZ_CP006571.1	155953	156561	-	-	-	RT28_RS00620	WP_038500125.1	202	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	156697	159156	-	-	-	RT28_RS00625	WP_020356019.1	819	MULTISPECIES: endopeptidase La
Chlamydia_sp_10DC88	NZ_CP006571.1	159645	160283	+	-	-	RT28_RS00630	WP_038500128.1	212	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
Chlamydia_sp_10DC88	NZ_CP006571.1	160476	160652	+	-	-	RT28_RS00635	WP_010882681.1	58	MULTISPECIES: 30S ribosomal protein S21
Chlamydia_sp_10DC88	NZ_CP006571.1	160678	161850	+	-	-	RT28_RS00640	WP_038500132.1	390	molecular chaperone DnaJ
Chlamydia_sp_10DC88	NZ_CP006571.1	161891	163921	+	-	-	RT28_RS00645	WP_038500136.1	676	MFS transporter
Chlamydia_sp_10DC88	NZ_CP006571.1	163918	164886	-	-	-	RT28_RS00650	WP_038500139.1	322	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	165098	166549	-	-	-	RT28_RS00655	WP_038500143.1	483	competence protein
Chlamydia_sp_10DC88	NZ_CP006571.1	166522	167298	+	-	-	RT28_RS00660	WP_020356027.1	258	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	167310	167654	+	-	-	RT28_RS00665	WP_020356028.1	114	MULTISPECIES: HPr family phosphocarrier protein
Chlamydia_sp_10DC88	NZ_CP006571.1	167655	169361	+	-	-	RT28_RS00670	WP_038500147.1	568	phosphoenolpyruvate--protein phosphotransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	169651	170955	-	-	-	RT28_RS00680	WP_038500150.1	434	DNA polymerase III subunit gamma/tau
Chlamydia_sp_10DC88	NZ_CP006571.1	171236	171958	-	-	-	RT28_RS00685	WP_038500153.1	240	hydroxymethylbilane synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	171936	173294	-	-	-	RT28_RS00690	WP_020356033.1	452	MULTISPECIES: DNA repair protein RadA
Chlamydia_sp_10DC88	NZ_CP006571.1	173260	173964	-	-	-	RT28_RS00695	WP_038500156.1	234	ribonuclease III
Chlamydia_sp_10DC88	NZ_CP006571.1	174077	174538	+	-	-	RT28_RS00700	WP_038500157.1	153	DUF5070 domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	174637	176433	+	-	-	RT28_RS00705	WP_038500158.1	598	phospho-sugar mutase
Chlamydia_sp_10DC88	NZ_CP006571.1	176606	177220	+	-	-	RT28_RS00710	WP_020356037.1	204	MULTISPECIES: superoxide dismutase
Chlamydia_sp_10DC88	NZ_CP006571.1	177296	178159	+	-	-	RT28_RS00715	WP_038500159.1	287	acetyl-CoA carboxylase carboxyltransferase subunit beta
Chlamydia_sp_10DC88	NZ_CP006571.1	178262	178705	+	-	-	RT28_RS00720	WP_020356039.1	147	MULTISPECIES: dUTP diphosphatase
Chlamydia_sp_10DC88	NZ_CP006571.1	178707	179183	+	-	-	RT28_RS00725	WP_038500161.1	158	PTS sugar transporter subunit IIA
Chlamydia_sp_10DC88	NZ_CP006571.1	179188	179865	+	-	-	RT28_RS00730	WP_038500165.1	225	helix-turn-helix domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	179964	181106	+	-	-	RT28_RS00735	WP_038500168.1	380	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	181269	182936	+	-	-	RT28_RS00740	WP_038500171.1	555	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	182943	183581	-	-	-	RT28_RS00745	WP_038500174.1	212	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	183596	184135	-	-	-	RT28_RS00750	WP_038500177.1	179	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	184238	185326	+	-	-	RT28_RS00755	WP_020356046.1	362	MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA
Chlamydia_sp_10DC88	NZ_CP006571.1	185301	187847	-	-	-	RT28_RS00760	WP_020356048.1	848	MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit
Chlamydia_sp_10DC88	NZ_CP006571.1	188205	188927	+	-	-	RT28_RS00765	WP_020356049.1	240	MULTISPECIES: biotin/lipoate A/B ligase
Chlamydia_sp_10DC88	NZ_CP006571.1	188924	190342	+	-	-	RT28_RS00770	WP_020356050.1	472	MULTISPECIES: phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	190454	192526	+	-	-	RT28_RS00775	WP_020356051.1	690	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	192527	192868	+	-	-	RT28_RS00780	WP_038500181.1	113	glycine cleavage protein H-like protein
Chlamydia_sp_10DC88	NZ_CP006571.1	192979	193269	+	-	-	RT28_RS00785	WP_020356053.1	96	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	193287	193619	+	-	-	RT28_RS00790	WP_038500184.1	110	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	193629	194420	-	-	-	RT28_RS00795	WP_020356055.1	263	MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit E
Chlamydia_sp_10DC88	NZ_CP006571.1	194423	195061	-	-	-	RT28_RS00800	WP_038500187.1	212	NADH:ubiquinone reductase (Na(+)-transporting) subunit D
Chlamydia_sp_10DC88	NZ_CP006571.1	195051	196010	-	-	-	RT28_RS00805	WP_038500190.1	319	NADH:ubiquinone reductase (Na(+)-transporting) subunit C
Chlamydia_sp_10DC88	NZ_CP006571.1	196016	197521	-	-	-	RT28_RS00810	WP_038500193.1	501	Na(+)-transporting NADH-quinone reductase subunit B
Chlamydia_sp_10DC88	NZ_CP006571.1	197602	198204	+	-	-	RT28_RS00815	WP_020356059.1	200	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	198167	198742	-	-	-	RT28_RS00820	WP_038500196.1	191	polymer-forming cytoskeletal family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	198758	200104	-	-	-	RT28_RS00825	WP_020356062.1	448	MULTISPECIES: chromosomal replication initiator protein DnaA
Chlamydia_sp_10DC88	NZ_CP006571.1	200267	200698	-	-	-	RT28_RS00830	WP_020356063.1	143	MULTISPECIES: tetratricopeptide repeat family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	200702	201259	-	-	-	RT28_RS00835	WP_035392703.1	185	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	201429	202328	+	-	-	RT28_RS00840	WP_038501258.1	299	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
Chlamydia_sp_10DC88	NZ_CP006571.1	202325	202612	+	-	-	RT28_RS00845	WP_020359228.1	95	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	202599	204545	+	-	-	RT28_RS00850	WP_038500198.1	648	penicillin-binding protein 2
Chlamydia_sp_10DC88	NZ_CP006571.1	204840	206288	+	-	-	RT28_RS00855	WP_020359229.1	482	MULTISPECIES: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
Chlamydia_sp_10DC88	NZ_CP006571.1	206266	206997	+	-	-	RT28_RS00860	WP_038500199.1	243	N-acetylmuramoyl-L-alanine amidase
Chlamydia_sp_10DC88	NZ_CP006571.1	207369	207671	+	-	-	RT28_RS00870	WP_020356070.1	100	MULTISPECIES: HU family DNA-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	207796	208977	+	-	-	RT28_RS00875	WP_020356071.1	393	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	209081	210055	+	-	-	RT28_RS00880	WP_020356072.1	324	MULTISPECIES: acetyl-CoA carboxylase carboxyltransferase subunit alpha
Chlamydia_sp_10DC88	NZ_CP006571.1	212609	213379	-	-	-	RT28_RS00895	WP_020356075.1	256	MULTISPECIES: menaquinone biosynthesis family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	213376	214065	-	-	-	RT28_RS00900	WP_020356076.1	229	MULTISPECIES: exonuclease DNA polymerase III epsilon subunit family domain protein
Chlamydia_sp_10DC88	NZ_CP006571.1	214080	214556	-	-	-	RT28_RS00905	WP_020356077.1	158	MULTISPECIES: sensory transduction regulator
Chlamydia_sp_10DC88	NZ_CP006571.1	214591	215094	-	-	-	RT28_RS00910	WP_020356078.1	167	MULTISPECIES: flagellar biosynthesis, FliO family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	215414	216298	+	-	-	RT28_RS00915	WP_020356079.1	294	MULTISPECIES: HAD family phosphatase
Chlamydia_sp_10DC88	NZ_CP006571.1	216279	217184	-	-	-	RT28_RS00920	WP_038500200.1	301	enoyl
Chlamydia_sp_10DC88	NZ_CP006571.1	217496	218320	-	-	-	RT28_RS00925	WP_038500201.1	274	RluA family pseudouridine synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	218367	219467	+	-	-	RT28_RS00930	WP_038500202.1	366	A/G-specific adenine glycosylase
Chlamydia_sp_10DC88	NZ_CP006571.1	219480	219866	+	-	-	RT28_RS00935	WP_038500203.1	128	nucleotide pyrophosphohydrolase
Chlamydia_sp_10DC88	NZ_CP006571.1	220039	220821	-	-	-	RT28_RS00940	WP_038500205.1	260	CPBP family intramembrane metalloprotease
Chlamydia_sp_10DC88	NZ_CP006571.1	220825	221469	-	-	-	RT28_RS00945	WP_038500207.1	214	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	222078	222368	-	-	-	RT28_RS00955	WP_038500211.1	96	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	222579	222965	-	-	-	RT28_RS00960	WP_038500214.1	128	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	223559	224308	+	-	-	RT28_RS00965	WP_038500217.1	249	serine/threonine-protein phosphatase
