#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_007899.1	37550	38833	-	-	tolB	CF_RS00195	WP_041468046.1	427	protein TolB
chr	NC_007899.1	38853	39608	-	-	-	CF_RS00200	WP_011457596.1	251	hypothetical protein
chr	NC_007899.1	39611	40018	-	-	-	CF_RS00205	WP_011457597.1	135	biopolymer transporter ExbD
chr	NC_007899.1	40015	40713	-	-	-	CF_RS00210	WP_011457598.1	232	MotA/TolQ/ExbB proton channel family protein
chr	NC_007899.1	40885	43026	+	-	-	CF_RS00215	WP_041468048.1	713	thio:disulfide interchange protein
chr	NC_007899.1	43197	43997	+	-	-	CF_RS00220	WP_011457600.1	266	YchF/TatD family DNA exonuclease
chr	NC_007899.1	44092	44985	+	-	-	CF_RS00225	WP_011457601.1	297	succinate dehydrogenase
chr	NC_007899.1	44990	46873	+	-	-	CF_RS00230	WP_011457602.1	627	succinate dehydrogenase flavoprotein subunit
chr	NC_007899.1	46888	47679	+	-	-	CF_RS00235	WP_011457603.1	263	succinate dehydrogenase iron-sulfur subunit
chr	NC_007899.1	47676	50567	-	-	-	CF_RS00240	WP_011457604.1	963	hypothetical protein
chr	NC_007899.1	50951	51157	+	-	-	CF_RS00245	WP_083755029.1	68	hypothetical protein
chr	NC_007899.1	51143	52963	-	-	-	CF_RS00250	WP_011457606.1	606	regulator of sigma subunit
chr	NC_007899.1	52960	54867	-	-	-	CF_RS00255	WP_011457607.1	635	HAMP domain-containing protein
chr	NC_007899.1	55130	56404	-	-	-	CF_RS00260	WP_011457608.1	424	phosphopyruvate hydratase
chr	NC_007899.1	56569	58539	-	-	-	CF_RS00265	WP_011457609.1	656	excinuclease ABC subunit B
chr	NC_007899.1	58553	59590	-	-	-	CF_RS00270	WP_011457610.1	345	tryptophan--tRNA ligase
chr	NC_007899.1	59603	60157	-	-	-	CF_RS00275	WP_011457611.1	184	hypothetical protein
chr	NC_007899.1	60160	60912	-	-	-	CF_RS00280	WP_011457612.1	250	virulence factor
chr	NC_007899.1	60917	61684	-	-	-	CF_RS00285	WP_011457613.1	255	ParA family protein
chr	NC_007899.1	61714	63621	-	-	-	CF_RS00290	WP_011457614.1	635	threonine--tRNA ligase
chr	NC_007899.1	63828	64736	+	-	-	CF_RS00295	WP_011457615.1	302	DMT family transporter
chr	NC_007899.1	64816	66135	-	-	-	CF_RS00300	WP_011457616.1	439	type III secretion system protein
chr	NC_007899.1	66163	67644	-	-	-	CF_RS00305	WP_011457617.1	493	type III secretion system membrane protein
chr	NC_007899.1	67684	68067	-	-	-	CF_RS00310	WP_011457618.1	127	hypothetical protein
chr	NC_007899.1	68091	68774	-	-	-	CF_RS00315	WP_011457619.1	227	CesD/SycD/LcrH family type III secretion system chaperone
chr	NC_007899.1	69002	70744	+	-	-	CF_RS00320	WP_011457620.1	580	DNA mismatch repair endonuclease MutL
chr	NC_007899.1	70748	71818	+	-	-	CF_RS00325	WP_011457621.1	356	aminopeptidase P family protein
chr	NC_007899.1	71938	73251	+	-	-	CF_RS00330	WP_011457622.1	437	hypothetical protein
chr	NC_007899.1	73252	75519	+	-	-	CF_RS00335	WP_011457623.1	755	type II secretion system protein GspD
chr	NC_007899.1	75509	77002	+	-	-	CF_RS00340	WP_041468050.1	497	type II/IV secretion system protein
chr	NC_007899.1	77014	78189	+	-	-	CF_RS00345	WP_011457625.1	391	type II secretion system F family protein
chr	NC_007899.1	78210	78587	+	-	-	CF_RS00350	WP_041468051.1	125	prepilin-type cleavage/methylation domain-containing protein
chr	NC_007899.1	78596	79033	+	-	-	CF_RS00355	WP_011457627.1	145	hypothetical protein
chr	NC_007899.1	79018	79569	+	-	-	CF_RS00360	WP_011457628.1	183	DUF1494 domain-containing protein
chr	NC_007899.1	79572	80576	+	-	-	CF_RS00365	WP_011457629.1	334	hypothetical protein
chr	NC_007899.1	80670	81119	+	-	-	CF_RS00370	WP_011457630.1	149	hypothetical protein
chr	NC_007899.1	81201	82070	-	-	-	CF_RS00375	WP_011457631.1	289	EscT/YscT/HrcT family type III secretion system export apparatus protein
chr	NC_007899.1	82077	82361	-	-	-	CF_RS00380	WP_011457632.1	94	EscS/YscS/HrcS family type III secretion system export apparatus protein
chr	NC_007899.1	82371	83288	-	-	-	CF_RS00385	WP_011457633.1	305	EscR/YscR/HrcR family type III secretion system export apparatus protein
chr	NC_007899.1	83303	83992	-	-	-	CF_RS00390	WP_011457634.1	229	HrpE/YscL family type III secretion apparatus protein
chr	NC_007899.1	84159	84992	-	-	-	CF_RS00395	WP_011457635.1	277	hypothetical protein
chr	NC_007899.1	84992	85984	-	-	-	CF_RS00400	WP_011457636.1	330	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
chr	NC_007899.1	86189	87127	-	-	-	CF_RS00405	WP_011457637.1	312	lipoyl synthase
chr	NC_007899.1	87124	88512	-	-	-	CF_RS00410	WP_011457638.1	462	dihydrolipoyl dehydrogenase
chr	NC_007899.1	88773	89237	+	-	-	CF_RS00415	WP_011457639.1	154	phage holin family protein
chr	NC_007899.1	89260	92880	-	-	-	CF_RS00420	WP_011457640.1	1206	DEAD/DEAH box helicase
chr	NC_007899.1	92915	94144	-	-	-	CF_RS00425	WP_011457641.1	409	branched-chain amino acid transport system II carrier protein
chr	NC_007899.1	94312	94950	-	-	-	CF_RS00430	WP_011457642.1	212	endonuclease III
chr	NC_007899.1	94940	96271	-	-	-	CF_RS00435	WP_011457643.1	443	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
chr	NC_007899.1	96430	97329	+	-	-	CF_RS00440	WP_011457644.1	299	phosphatidylserine decarboxylase
chr	NC_007899.1	97395	98720	+	-	-	CF_RS00445	WP_011457645.1	441	hypothetical protein
chr	NC_007899.1	98906	101815	+	-	-	CF_RS00450	WP_011457646.1	969	preprotein translocase subunit SecA
chr	NC_007899.1	101871	102401	-	-	-	CF_RS00455	WP_011457647.1	176	hypothetical protein
chr	NC_007899.1	102475	103902	-	-	-	CF_RS00460	WP_011457648.1	475	ribosome biogenesis GTPase Der
chr	NC_007899.1	104025	105257	-	-	-	CF_RS00465	WP_011457649.1	410	CCA tRNA nucleotidyltransferase
chr	NC_007899.1	105287	106552	-	-	-	CF_RS00470	WP_011457650.1	421	ATP-dependent Clp protease ATP-binding subunit ClpX
chr	NC_007899.1	106562	107173	-	-	-	CF_RS00475	WP_011457651.1	203	ATP-dependent Clp protease proteolytic subunit
chr	NC_007899.1	107353	108678	-	-	-	CF_RS00480	WP_011457652.1	441	trigger factor
chr	NC_007899.1	108974	112471	+	-	-	CF_RS00490	WP_011457653.1	1165	DEAD/DEAH box helicase
chr	NC_007899.1	112476	113576	+	-	-	CF_RS00495	WP_011457654.1	366	rod shape-determining protein
chr	NC_007899.1	113573	115375	+	-	-	CF_RS00500	WP_011457655.1	600	phosphoenolpyruvate carboxykinase (GTP)
chr	NC_007899.1	115498	117738	+	-	-	CF_RS00505	WP_011457656.1	746	hypothetical protein
chr	NC_007899.1	117747	118913	+	-	-	CF_RS00510	WP_011457657.1	388	hypothetical protein
chr	NC_007899.1	118910	119944	-	-	-	CF_RS00515	WP_011457658.1	344	membrane protein
chr	NC_007899.1	120077	121081	-	-	-	CF_RS00520	WP_011457659.1	334	NAD(P)-dependent glycerol-3-phosphate dehydrogenase
chr	NC_007899.1	121078	122460	-	-	-	CF_RS00525	WP_011457660.1	460	UDP-N-acetylglucosamine pyrophosphorylase
chr	NC_007899.1	122832	124136	-	-	-	CF_RS00535	WP_011457662.1	434	FliI/YscN family ATPase
chr	NC_007899.1	124133	124684	-	-	-	CF_RS00540	WP_041467925.1	183	hypothetical protein
chr	NC_007899.1	124708	125721	-	-	-	CF_RS00545	WP_011457664.1	337	type III secretion system protein
chr	NC_007899.1	125823	126644	-	-	-	CF_RS00550	WP_011457665.1	273	hypothetical protein
chr	NC_007899.1	126641	127798	-	-	-	CF_RS00555	WP_011457666.1	385	aminotransferase class V-fold PLP-dependent enzyme
chr	NC_007899.1	127753	128436	-	-	-	CF_RS00560	WP_011457667.1	227	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
chr	NC_007899.1	128592	129290	+	-	-	CF_RS00565	WP_041467926.1	232	rRNA pseudouridine synthase
chr	NC_007899.1	129333	129860	+	-	-	CF_RS00570	WP_011457669.1	175	hypothetical protein
chr	NC_007899.1	129828	130406	-	-	-	CF_RS00575	WP_011457670.1	192	biotin-
chr	NC_007899.1	130443	131582	+	-	-	CF_RS00580	WP_011457671.1	379	FtsW/RodA/SpoVE family cell cycle protein
chr	NC_007899.1	131585	133558	-	-	-	CF_RS00585	WP_011457672.1	657	cation-translocating P-type ATPase
chr	NC_007899.1	133574	134317	-	-	-	CF_RS00590	WP_011457673.1	247	membrane protein
chr	NC_007899.1	134380	135660	-	-	-	CF_RS00595	WP_011457674.1	426	serine--tRNA ligase
chr	NC_007899.1	135704	136837	+	-	-	CF_RS00600	WP_011457675.1	377	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
chr	NC_007899.1	136895	138154	+	-	-	CF_RS00605	WP_011457676.1	419	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
chr	NC_007899.1	138167	138631	+	-	-	CF_RS00610	WP_011457677.1	154	6,7-dimethyl-8-ribityllumazine synthase
chr	NC_007899.1	138649	140016	-	-	-	CF_RS00615	WP_011457678.1	455	hypothetical protein
chr	NC_007899.1	140276	140920	+	-	-	CF_RS00620	WP_011457679.1	214	hypothetical protein
chr	NC_007899.1	141027	142403	+	-	-	CF_RS00625	WP_011457680.1	458	sodium:alanine symporter family protein
chr	NC_007899.1	142417	142869	+	-	-	CF_RS00630	WP_011457681.1	150	YbhB/YbcL family Raf kinase inhibitor-like protein
chr	NC_007899.1	142874	143533	-	-	-	CF_RS00635	WP_011457682.1	219	SET domain-containing protein-lysine N-methyltransferase
chr	NC_007899.1	143530	144318	-	-	-	CF_RS00640	WP_011457683.1	262	MBL fold metallo-hydrolase
chr	NC_007899.1	144323	146740	-	-	-	CF_RS00645	WP_011457684.1	805	DNA translocase FtsK
chr	NC_007899.1	147212	147604	-	-	-	CF_RS00655	WP_041467927.1	130	hypothetical protein
chr	NC_007899.1	152984	154870	+	-	-	CF_RS00675	WP_011457686.1	628	DUF687 domain-containing protein
chr	NC_007899.1	154885	156180	-	-	-	CF_RS00680	WP_011457687.1	431	NADH:ubiquinone reductase (Na(+)-transporting) subunit F
chr	NC_007899.1	156299	156652	-	-	-	CF_RS00685	WP_011457688.1	117	preprotein translocase subunit YajC
chr	NC_007899.1	156723	157928	-	-	-	CF_RS00690	WP_011457689.1	401	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
chr	NC_007899.1	158152	158532	-	-	-	CF_RS00695	WP_011457690.1	126	histone
chr	NC_007899.1	158938	161445	+	-	-	CF_RS00700	WP_011457692.1	835	hypothetical protein
chr	NC_007899.1	161416	162684	-	-	-	CF_RS00705	WP_011457693.1	422	protoporphyrinogen oxidase
chr	NC_007899.1	162681	164057	-	-	-	CF_RS00710	WP_011457694.1	458	oxygen-independent coproporphyrinogen III oxidase
chr	NC_007899.1	164030	165031	-	-	-	CF_RS00715	WP_011457695.1	333	uroporphyrinogen decarboxylase
chr	NC_007899.1	165041	168295	-	-	-	CF_RS00720	WP_011457696.1	1084	transcription-repair coupling factor
chr	NC_007899.1	168265	170892	-	-	-	CF_RS00725	WP_011457697.1	875	alanine--tRNA ligase
chr	NC_007899.1	171152	173149	+	-	-	CF_RS00730	WP_011457698.1	665	transketolase
chr	NC_007899.1	173143	174018	-	-	-	CF_RS00735	WP_011457699.1	291	AMP nucleosidase
chr	NC_007899.1	174224	174796	+	-	-	CF_RS00740	WP_011457700.1	190	elongation factor P
chr	NC_007899.1	174854	175075	+	-	-	CF_RS00745	WP_011457701.1	73	hypothetical protein
chr	NC_007899.1	175125	176006	-	-	-	CF_RS00750	WP_011457702.1	293	metallophosphoesterase
chr	NC_007899.1	176419	177945	-	-	-	CF_RS00755	WP_011457703.1	508	heat-shock protein Hsp60 subunit
chr	NC_007899.1	178327	179673	+	-	-	CF_RS00765	WP_011457704.1	448	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr	NC_007899.1	179691	180737	+	-	-	CF_RS00770	WP_011457705.1	348	phospho-N-acetylmuramoyl-pentapeptide-transferase
chr	NC_007899.1	180741	182000	+	-	murD	CF_RS00775	WP_011457706.1	419	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
chr	NC_007899.1	181997	182725	+	-	-	CF_RS00780	WP_011457707.1	242	LysM peptidoglycan-binding domain-containing protein
chr	NC_007899.1	182744	183898	+	-	-	CF_RS00785	WP_011457708.1	384	putative lipid II flippase FtsW
chr	NC_007899.1	183810	184883	+	-	-	CF_RS00790	WP_011457709.1	357	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
chr	NC_007899.1	184891	187326	+	-	-	CF_RS00795	WP_011457710.1	811	D-alanine--D-alanine ligase
chr	NC_007899.1	187394	187822	-	-	-	CF_RS00800	WP_011457711.1	142	KH domain-containing protein
chr	NC_007899.1	187931	188263	-	-	-	CF_RS00805	WP_011457712.1	110	divalent-cation tolerance protein CutA
chr	NC_007899.1	188260	189048	-	-	-	CF_RS00810	WP_011457713.1	262	hypothetical protein
chr	NC_007899.1	189124	189456	+	-	-	CF_RS00815	WP_011457714.1	110	anti-sigma factor antagonist
chr	NC_007899.1	189468	190496	+	-	-	CF_RS00820	WP_011457715.1	342	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
chr	NC_007899.1	190487	191548	-	-	-	CF_RS00825	WP_011457716.1	353	dehypoxanthine futalosine cyclase
chr	NC_007899.1	191637	193301	+	-	-	CF_RS00830	WP_011457717.1	554	hypothetical protein
chr	NC_007899.1	193298	193936	+	-	-	CF_RS00835	WP_011457718.1	212	haloacid dehalogenase
chr	NC_007899.1	193995	194354	+	-	-	CF_RS00840	WP_011457719.1	119	ribosome silencing factor
chr	NC_007899.1	194372	195622	+	-	-	CF_RS00845	WP_011457720.1	416	beta-ketoacyl
chr	NC_007899.1	195625	196074	+	-	-	CF_RS00850	WP_011457721.1	149	NUDIX domain-containing protein
chr	NC_007899.1	196120	196758	-	-	-	CF_RS00855	WP_011457722.1	212	inorganic pyrophosphatase
chr	NC_007899.1	196922	197971	+	-	-	CF_RS00860	WP_011457723.1	349	Glu/Leu/Phe/Val dehydrogenase
chr	NC_007899.1	197968	198948	-	-	-	CF_RS00865	WP_011457724.1	326	3\'(2\'),5\'-bisphosphate nucleotidase
chr	NC_007899.1	199056	199817	+	-	-	CF_RS00870	WP_011457725.1	253	1-acyl-sn-glycerol-3-phosphate acyltransferase
chr	NC_007899.1	201505	202611	+	-	-	CF_RS00880	WP_011457727.1	368	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
chr	NC_007899.1	202543	204792	-	-	-	CF_RS00885	WP_011457728.1	749	primosomal protein N\'
chr	NC_007899.1	204744	205457	-	-	-	CF_RS00890	WP_011457729.1	237	hypothetical protein
chr	NC_007899.1	205630	206139	+	-	-	CF_RS00895	WP_011457730.1	169	thioredoxin family protein
chr	NC_007899.1	206366	207946	+	-	-	CF_RS00900	WP_011457731.1	526	lysine--tRNA ligase
chr	NC_007899.1	207943	209373	-	-	-	CF_RS00905	WP_011457732.1	476	cysteine--tRNA ligase
chr	NC_007899.1	209802	210848	+	-	-	CF_RS00910	WP_011457734.1	348	thioredoxin family protein
chr	NC_007899.1	210790	211209	-	-	-	CF_RS05170	WP_011457735.1	139	ribonuclease P protein component
chr	NC_007899.1	211223	211360	-	-	-	CF_RS05175	WP_011457736.1	45	50S ribosomal protein L34
chr	NC_007899.1	211621	211758	+	-	-	CF_RS00915	WP_011006789.1	45	MULTISPECIES: 50S ribosomal protein L36
chr	NC_007899.1	211784	212089	+	-	-	CF_RS00920	WP_006344408.1	101	MULTISPECIES: 30S ribosomal protein S14
chr	NC_007899.1	212149	212658	-	-	-	CF_RS00925	WP_011457737.1	169	hypothetical protein
chr	NC_007899.1	212749	213237	+	-	-	CF_RS00930	WP_011457738.1	162	Asp23/Gls24 family envelope stress response protein
chr	NC_007899.1	213246	215060	-	-	-	CF_RS00935	WP_011457739.1	604	excinuclease ABC subunit UvrC
chr	NC_007899.1	215063	217543	-	-	-	CF_RS00940	WP_011457740.1	826	DNA mismatch repair protein MutS
chr	NC_007899.1	217847	219637	+	-	-	CF_RS00945	WP_011457741.1	596	DNA primase
chr	NC_007899.1	219746	220015	+	-	-	CF_RS00950	WP_011457742.1	89	hypothetical protein
chr	NC_007899.1	220176	220670	+	-	-	CF_RS00955	WP_011457743.1	164	hypothetical protein
chr	NC_007899.1	220891	221406	+	-	-	CF_RS00960	WP_011457744.1	171	hypothetical protein
chr	NC_007899.1	221522	221968	+	-	-	CF_RS00965	WP_011457745.1	148	hypothetical protein
chr	NC_007899.1	222049	225072	-	-	-	CF_RS00970	WP_011457746.1	1007	glycine--tRNA ligase
chr	NC_007899.1	225354	225968	+	-	-	CF_RS00975	WP_041468056.1	204	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
chr	NC_007899.1	225950	227377	-	-	-	CF_RS00980	WP_011457748.1	475	glycogen synthase GlgA
chr	NC_007899.1	227867	228424	+	-	-	CF_RS00990	WP_011457749.1	185	50S ribosomal protein L25
chr	NC_007899.1	228432	228983	+	-	-	CF_RS00995	WP_011457750.1	183	aminoacyl-tRNA hydrolase
chr	NC_007899.1	229060	229398	+	-	-	CF_RS01000	WP_011457751.1	112	30S ribosomal protein S6
chr	NC_007899.1	229416	229664	+	-	-	CF_RS01005	WP_006343478.1	82	MULTISPECIES: 30S ribosomal protein S18
chr	NC_007899.1	229685	230206	+	-	-	CF_RS01010	WP_011457752.1	173	50S ribosomal protein L9
chr	NC_007899.1	230257	231129	+	-	-	CF_RS01015	WP_011457753.1	290	4-(cytidine 5\'-diphospho)-2-C-methyl-D-erythritol kinase
chr	NC_007899.1	231109	231336	-	-	-	CF_RS01020	WP_011457754.1	75	reticulate body protein Rbp-7
chr	NC_007899.1	231532	232884	+	-	-	CF_RS01025	WP_011457755.1	450	membrane protein
chr	NC_007899.1	235711	236706	-	-	-	CF_RS01035	WP_041468058.1	331	glycerol-3-phosphate acyltransferase
chr	NC_007899.1	236715	238247	-	-	-	CF_RS01040	WP_011457759.1	510	ribonuclease E/G
chr	NC_007899.1	238557	239018	+	-	-	CF_RS01045	WP_011457760.1	153	hypothetical protein
chr	NC_007899.1	239031	239213	+	-	-	CF_RS05180	WP_011457761.1	60	50S ribosomal protein L32
chr	NC_007899.1	239229	240179	+	-	-	CF_RS01050	WP_011457762.1	316	phosphate acyltransferase PlsX
chr	NC_007899.1	240285	244895	+	-	-	CF_RS01055	WP_011457763.1	1536	autotransporter domain-containing protein
chr	NC_007899.1	244971	246269	-	-	-	CF_RS01060	WP_011457764.1	432	DUF1548 domain-containing protein
chr	NC_007899.1	249707	250966	-	-	-	CF_RS01070	WP_011457768.1	419	DUF1548 domain-containing protein
chr	NC_007899.1	251506	252609	+	-	-	CF_RS01075	WP_011457769.1	367	hypothetical protein
chr	NC_007899.1	252883	253941	+	-	-	CF_RS01080	WP_041467931.1	352	IncA family protein
chr	NC_007899.1	254123	256693	+	-	-	CF_RS01090	WP_011457771.1	856	IncA family protein
chr	NC_007899.1	257034	258179	+	-	-	CF_RS01095	WP_011457772.1	381	IncA family protein
chr	NC_007899.1	258821	259543	+	-	-	CF_RS01100	WP_011457773.1	240	hypothetical protein
chr	NC_007899.1	259747	260808	+	-	-	CF_RS01105	WP_011457774.1	353	IncA family protein
chr	NC_007899.1	260843	262720	-	-	lpxB	CF_RS01110	WP_011457775.1	625	lipid-A-disaccharide synthase
chr	NC_007899.1	262734	264017	-	-	-	CF_RS01115	WP_011457776.1	427	polynucleotide adenylyltransferase PcnB
chr	NC_007899.1	264262	264471	+	-	-	CF_RS01120	WP_011457777.1	69	hypothetical protein
chr	NC_007899.1	264659	266035	+	-	-	CF_RS01125	WP_011457778.1	458	phosphoglucosamine mutase
chr	NC_007899.1	266044	267873	+	-	-	CF_RS01130	WP_011457779.1	609	glutamine--fructose-6-phosphate transaminase (isomerizing)
chr	NC_007899.1	267946	269133	+	-	-	CF_RS01135	WP_011457780.1	395	amino acid transporter
chr	NC_007899.1	269189	269905	+	-	-	CF_RS01140	WP_011457781.1	238	Bax inhibitor-1/YccA family protein
chr	NC_007899.1	269920	270777	-	-	-	CF_RS01145	WP_011457782.1	285	signal recognition particle-docking protein FtsY
chr	NC_007899.1	270848	272014	+	-	-	CF_RS01150	WP_011457783.1	388	ADP-forming succinate--CoA ligase subunit beta
chr	NC_007899.1	272023	272898	+	-	-	CF_RS01155	WP_011457784.1	291	succinate--CoA ligase subunit alpha
chr	NC_007899.1	273236	274702	+	-	-	CF_RS01160	WP_011457785.1	488	DegQ family serine endoprotease
chr	NC_007899.1	274760	276124	-	-	-	CF_RS01165	WP_011457786.1	454	M20/M25/M40 family metallo-hydrolase
chr	NC_007899.1	276273	279197	+	-	-	CF_RS01170	WP_011457787.1	974	insulinase family protein
chr	NC_007899.1	279200	280441	-	-	-	CF_RS01175	WP_011457788.1	413	DNA recombination protein RmuC
chr	NC_007899.1	280438	281244	-	-	-	CF_RS01180	WP_011457789.1	268	phosphatidylcholine/phosphatidylserine synthase
chr	NC_007899.1	281619	284756	+	-	-	CF_RS01185	WP_011457791.1	1045	ribonucleoside-diphosphate reductase subunit alpha
chr	NC_007899.1	284780	285820	+	-	-	CF_RS01190	WP_041468061.1	346	ribonucleotide-diphosphate reductase subunit beta
chr	NC_007899.1	285992	286666	+	-	-	CF_RS05150	WP_011457793.1	224	tRNA (guanosine(46)-N7)-methyltransferase TrmB
chr	NC_007899.1	286780	287373	+	-	-	CF_RS01200	WP_011457794.1	197	SAM-dependent methyltransferase
chr	NC_007899.1	287351	288241	-	-	-	CF_RS01205	WP_011457795.1	296	UDP-N-acetylenolpyruvoylglucosamine reductase
chr	NC_007899.1	288308	288772	-	-	-	CF_RS01210	WP_011457796.1	154	transcription antitermination factor NusB
chr	NC_007899.1	289189	289749	+	-	-	CF_RS01215	WP_011457797.1	186	translation initiation factor IF-3
chr	NC_007899.1	289727	289921	+	-	-	CF_RS01220	WP_011006725.1	64	MULTISPECIES: 50S ribosomal protein L35
chr	NC_007899.1	289942	290307	+	-	-	CF_RS01225	WP_011457798.1	121	50S ribosomal protein L20
chr	NC_007899.1	290320	291345	+	-	-	CF_RS01230	WP_011457799.1	341	phenylalanine--tRNA ligase subunit alpha
chr	NC_007899.1	291653	293680	+	-	-	CF_RS01240	WP_011457800.1	675	hypothetical protein
chr	NC_007899.1	293667	294770	-	-	-	CF_RS01245	WP_011457801.1	367	LptF/LptG family permease
chr	NC_007899.1	294771	295844	-	-	-	CF_RS01250	WP_011457802.1	357	LptF/LptG family permease
chr	NC_007899.1	295958	296911	+	-	-	CF_RS01255	WP_011457803.1	317	tRNA lysidine(34) synthetase TilS
chr	NC_007899.1	297087	299828	+	-	-	CF_RS01260	WP_011457804.1	913	ATP-dependent zinc metalloprotease FtsH
chr	NC_007899.1	299933	302017	-	-	-	CF_RS01265	WP_011457805.1	694	polyribonucleotide nucleotidyltransferase
chr	NC_007899.1	302064	302333	-	-	-	CF_RS01270	WP_011457806.1	89	30S ribosomal protein S15
chr	NC_007899.1	302578	303051	+	-	-	CF_RS01275	WP_011457807.1	157	nucleoside deaminase
chr	NC_007899.1	303048	303278	+	-	-	CF_RS01280	WP_011457808.1	76	hypothetical protein
